54.241.95.48 - - [11/Jun/2013:04:09:39 -0700] "GET /new-site/index.html HTTP/1.1" 200 2546 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.241.95.48 - - [11/Jun/2013:04:09:42 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:09:44 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:09:45 -0700] "GET /new-site/dynamic/js/main.js HTTP/1.1" 200 1746 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.215.72.14 - - [11/Jun/2013:04:09:45 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.241.95.48 - - [11/Jun/2013:04:09:53 -0700] "GET / HTTP/1.1" 200 3009 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.241.95.48 - - [11/Jun/2013:04:09:53 -0700] "GET /new-site HTTP/1.1" 301 100 "http://donhughescountry.com/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.241.95.48 - - [11/Jun/2013:04:09:54 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 8655 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.241.95.48 - - [11/Jun/2013:04:09:54 -0700] "GET /new-site/dynamic HTTP/1.1" 301 108 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.241.95.48 - - [11/Jun/2013:04:09:55 -0700] "GET /new-site/dynamic/js/libs/jquery/plugins/jquery.listen-min.js HTTP/1.1" 200 1742 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
54.241.95.48 - - [11/Jun/2013:04:09:56 -0700] "GET /new-site/index.html HTTP/1.1" 200 2547 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 PTST/115" "donhughescountry.com"
