159.121.92.148 - - [25/Jul/2013:12:30:22 -0700] "GET /jukebox.jpg HTTP/1.1" 200 5321 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:30:22 -0700] "GET /Discography.gif HTTP/1.1" 200 2306 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:30:22 -0700] "GET /niceforms.js HTTP/1.1" 200 2583 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:30:22 -0700] "GET /DonCD1.jpg HTTP/1.1" 200 15462 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:30:22 -0700] "GET /buy.jpg HTTP/1.1" 404 89 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:30:22 -0700] "GET /mm/stationery/ThumbnailGrid/dh_2077sm.gif HTTP/1.1" 200 10731 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:30:22 -0700] "GET /mm/stationery/ThumbnailGrid/DHsm1.gif HTTP/1.1" 200 9051 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:30:23 -0700] "GET /dh_1sm.gif HTTP/1.1" 200 10552 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:12:31:34 -0700] "GET /photoview1.html HTTP/1.1" 200 1817 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:57 -0700] "GET /index2.php HTTP/1.1" 200 7684 "http://search.yahoo.com/mobile/s?rewrite=72&.tsrc=apple&first=1&p=don+haughes+country+singer&pintl=en&pcarrier=AT%26T&pmcc=310&pmnc=410&fr=onesearch" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
