75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /res.gif HTTP/1.1" 200 12878 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /pic2.gif HTTP/1.1" 200 39807 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:27 -0700] "GET /images/favicon.ico HTTP/1.1" 200 9512 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:29:29 -0700] "GET /radio2.swf HTTP/1.1" 200 2579418 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:32:54 -0700] "GET /photoview3.html HTTP/1.1" 200 3193 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:32:55 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:12 -0700] "GET /photoview1.html HTTP/1.1" 200 1817 "http://www.donhughescountry.com/photoview3.html" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:12 -0700] "GET /blackhat.jpg HTTP/1.1" 200 120347 "http://www.donhughescountry.com/photoview1.html" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:12 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:18 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:21 -0700] "GET /photoview2.html HTTP/1.1" 200 1833 "http://www.donhughescountry.com/photoview1.html" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:21 -0700] "GET /mm/stationery/SlideShow/DonHughesstyle.jpg HTTP/1.1" 200 132944 "http://www.donhughescountry.com/photoview2.html" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:22 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:31 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:35 -0700] "GET /photoview4.html HTTP/1.1" 200 1743 "http://www.donhughescountry.com/photoview3.html" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:36 -0700] "GET /dh_2024.jpg HTTP/1.1" 200 30598 "http://www.donhughescountry.com/photoview4.html" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:36 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:41 -0700] "GET /photoview5.html HTTP/1.1" 200 1740 "http://www.donhughescountry.com/photoview4.html" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
75.140.116.102 - - [16/Aug/2013:14:33:41 -0700] "GET /dh_3063.jpg HTTP/1.1" 200 29820 "http://www.donhughescountry.com/photoview5.html" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36" "www.donhughescountry.com"
66.249.73.43 - - [16/Aug/2013:15:07:55 -0700] "GET /myspace.com/donhughescountry HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.donhughescountry.com"
100.43.83.135 - - [16/Aug/2013:15:29:22 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
