157.55.33.123 - - [08/Nov/2013:06:11:55 -0800] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "donhughescountry.com"
65.55.215.254 - - [08/Nov/2013:07:09:27 -0800] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  WOW64;  Trident/5.0)" "www.donhughescountry.com"
65.55.215.254 - - [08/Nov/2013:07:09:28 -0800] "GET /new-site HTTP/1.1" 301 104 "http://www.donhughescountry.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  WOW64;  Trident/5.0)" "www.donhughescountry.com"
65.55.215.254 - - [08/Nov/2013:07:09:28 -0800] "GET /new-site/ HTTP/1.1" 200 4805 "http://www.donhughescountry.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  WOW64;  Trident/5.0)" "www.donhughescountry.com"
65.55.215.254 - - [08/Nov/2013:07:09:29 -0800] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  WOW64;  Trident/5.0)" "www.donhughescountry.com"
65.55.215.254 - - [08/Nov/2013:07:09:31 -0800] "GET /new-site/dynamic HTTP/1.1" 301 112 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  WOW64;  Trident/5.0)" "www.donhughescountry.com"
65.55.215.254 - - [08/Nov/2013:07:09:32 -0800] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  WOW64;  Trident/5.0)" "www.donhughescountry.com"
65.55.215.254 - - [08/Nov/2013:07:09:32 -0800] "GET /new-site/dynamic/js/main.js HTTP/1.1" 200 1746 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  WOW64;  Trident/5.0)" "www.donhughescountry.com"
220.181.51.156 - - [08/Nov/2013:07:28:51 -0800] "GET /news1.swf HTTP/1.0" 200 250907 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
220.181.51.158 - - [08/Nov/2013:07:45:50 -0800] "GET /dhfilm.mp4 HTTP/1.0" 200 811256 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
220.181.108.86 - - [08/Nov/2013:09:17:33 -0800] "GET /new-site/dynamic/music HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
69.58.178.59 - - [08/Nov/2013:11:06:49 -0800] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1" "www.donhughescountry.com"
69.58.178.59 - - [08/Nov/2013:11:06:50 -0800] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1" "www.donhughescountry.com"
157.55.33.123 - - [08/Nov/2013:14:27:00 -0800] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "donhughescountry.com"
